,Band name,Country of origin,Location,Status,Formed in,Years active,Genre,Lyrical themes,Current/Last label,Discography,Country code,Spotify ID
122,Rachels Coven,United States,"Wheeling, West Virginia",Split-up,2006,2006-?,Power Metal,,Metal on Metal Records,['Rachels Coven'],US,
123,Rachesang,Germany,"Black Forest, Baden-Württemberg",Active,2007,2007-present,Black Metal,,Unsigned/independent,"['Aufnahmen 2009', 'Demo 2012']",DE,
124,Racial Purity,Germany,"Dresden, Saxony",Active,2003,2003-present,"Death Metal, Metalcore","Aryanism, Racism, Paganism, Death, National Socialism",One People One Struggle Records,"['Last Days of Humanity', 'One Family Part One']",DE,
125,Racing Fate,United States,"Cape May Court House, New Jersey",Active,2015,2015-present,Groove Metal,,Unsigned/independent,['Redemption'],US,
126,Racism,United States,Arizona,Active,2020,2020-present,"Death Metal, Grindcore","Breaking Bad, Humour, Insanity, Movies",Martin Records,"['Deathlike Metal', 'Movies', 'Racism: The TV Show', 'Trapped in Albuquerque', 'ToyStoryectomy']",US,
127,Rack Torment,Colombia,"Cali, Valle del Cauca",Active,2010,2010-present,"Heavy, Speed Metal",Torture,Hellbenller Records,['The Torture'],CO,
128,Racket,Italy,"Trento, Trentino-South Tyrol",Active,2015,2015-present,"Heavy Metal, Hard Rock",,Unsigned/independent,"[""A Bad Case of Rock 'n' Roll""]",IT,
129,Rackseed,Portugal,"Porto, Porto",Active,2009,2009-present,"Black, Death Metal",,Unsigned/independent,['The Winter Is Coming'],PT,3kBO6WLv3AjpFIwh08tIAD
130,Racodia,Mexico,"Valle de Santiago, Guanajuato",Active,2006,2006-present,"Heavy, Gothic, Folk Metal","Sadness, Nature, Love",Unsigned/independent,"['Líricas del corazón', 'El Bufon']",MX,
131,Ractica,Japan,Tokyo,Unknown,,,"Melodic Death Metal, Metalcore",,Unsigned/independent,"['Breath of Life', 'Under the Oath', 'The Ideal of Men / Rememberance', 'All Your Sins', 'Retribution', 'Another Shot Down / Fading Life', 'Message to the Masses', 'Becoming a Legend']",JP,
132,Rad Enhancer,United States,"Minneapolis, Minnesota",Active,2015,2015-present,Thrash Metal,"Alcohol, Sex, Food, Drugs, Humour",Unsigned/independent,"['The Memory ReLanes', 'Rad Enhancer']",US,
133,Rad Kick,Germany,Hamburg,Active,1991,1991-present,"Heavy, Power Metal",,Unsigned/independent,"[""Nuthin' Less to Loose"", 'Peace of Mind']",DE,
134,Rad-X,New Zealand,"Wellington, Wellington",Split-up,2008,"? (as Destitude), 2008-2012",Thrash Metal,Life,Unsigned/independent,['Force of Will'],NZ,
135,Radagast,United States,California,Unknown,,,"Atmospheric Black, Folk Metal",Nature,Unsigned/independent,['An Earthly Sacrament'],US,
136,Radaghast,Chile,Santiago,Unknown,1997,1997-?,Power Metal,Fantasy,Unsigned/independent,"['Arkan', 'The Deadline']",CL,
137,Radakka,United States,"Chicago, Illinois",Split-up,1988,1988-1999,"Progressive Heavy, Power Metal","Personal struggles, Need, Society",Century Media Records,"['Radakka', 'Vicious Raditude', 'Masquerade', 'Malice and Tranquility', 'Requiem for the Innocent']",US,5nYQLMMGYo8124v8we12IZ
138,Radamanthys,United States,"Gaithersburg, Maryland",Active,2009,2009-present,"Death, Thrash Metal, american melodeath",Greek mythology,Unsigned/independent,"['Radamanthys', 'Eternal Judgment', 'Another Dimension', 'Ritualmanthys']",US,7bxYhokpeHvY9ChcWQZvSx
139,Radamanthys,Chile,"Concepción, Bio Bio",Active,2007,2007-present,Death Metal,,Gate of Horror Productions,"['Demo (2020)', 'The War Within']",CL,7CYDXDgxROJcKKps9vAUy7
140,Radamathys,Brazil,"Ceilândia, Distrito Federal",Active,2008,2008-present,Black Metal,"Anti-Christian, Blasphemies, War",Unsigned/independent,['Chama Negra Infernal'],BR,
141,Radamment,Philippines,"Manila, National Capital Region",Split-up,2011,2011-2016,"Brutal Death Metal, Grindcore","Tyranny, Supremacy, Immorality, Gore, Destructive human nature, Apocalypse",Unsigned/independent,['Villain from the Depths'],PH,
142,Radang,Indonesia,"Medan, North Sumatra",Active,2010,2010-present,Technical Death Metal,"War, Religion viewpoints, Environments, Fantasy",Hitam Kelam Records,['Konsorsium Intelegensi'],ID,
143,Radang Kelamin,Indonesia,"Cimanggis, Depok, West Java",Active,2008,2008-present,Brutal Death Metal,"Porn, Sex",666 Record,"['Tribute to Mak Erot', 'Surga di Dalam Lobang Memek', 'The Slaves of Dick', 'Brutal Porn Infection', 'In the Interfucked Liquid', 'P.E.L.ER']",ID,
144,Radar,Hungary,"Kisvárda, Szabolcs-Szatmár-Bereg",Active,2005,2005-present,Heavy Metal,"Urban life, Relationships, Introspection",E.Z.S. Music,"['Új hajnal', 'Embertelen kor', 'Mindenáron', 'Lehetetlen', 'Kétszer élni']",HU,1p3tcR7MPNriKXn0V1f5Nn
145,Radar,United Kingdom,"Leicester, Leicestershire, England",Split-up,,,"NWOBHM, Heavy Metal, Hard Rock",,House of Wax Records,['Leave Her Alone / Reach for the Sky'],GB,
146,Radar,Russia,"Lyubertsy, Moscow Oblast",Active,2002,2002-present,Thrash Metal,Esoteric,Unsigned/independent,"['St. Paranoid Day', 'Shemhamfothrash!', 'Episode 1']",,
147,Radar,Mexico,Mexico City,Split-up,1984,1984-?,"Heavy Metal, Hard Rock",,Unsigned/independent,['Radiación Metálica'],MX,
148,Rådare,Sweden,,Active,2011,2011-present,Folk Metal,"Romantic nationalism, Spirituality",Unsigned/independent,"['Rådare', 'Den rena tankens rike']",SE,
149,Rådarna,Sweden,,Active,2017,2017-present,Folk Metal,"Comedy, Fantasy, Mythology, Folklore",Unsigned/independent,['The Fomorian Horde'],SE,
150,Radegast,United States,"Allentown, Pennsylvania",Split-up,1997,1997-2000,Black Metal,"War, Religion",Unsigned/independent,"['Empty Skies', 'Venom of Fire', 'Unfinished']",US,
151,Rademassaker,Germany,"Stuttgart, Baden-Württemberg",Split-up,2002,"2002-2009, 2017-2018",Death Metal,"Death, Gore, Evil",Unholy Fire Records,"['Rademassaker', 'Gnawing on a Rotted Piece of Flesh', 'Fleshdance', ""Skull's Corner / Rademassaker"", 'The Anti-Posers Unite!', 'Satanic Zombie Hordes', 'Rhythms of Carnage', 'Tormented in Gore / Old Grave', 'Reanimation of the Ancient Demons', 'Primitive Death Attack']",DE,
152,Radement,Spain,"Jerez de la Frontera, Andalusia (early); Madrid, Community of Madrid (later)",Active,2012,"2012-2015, 2019-present",Death Metal,"Aliens, Death, History, Myths",Unsigned/independent,"['Betrayal', 'The Swarm', 'Cruelty', 'Gazing Internally', 'Controlled Exposure']",ES,2g3Xav2zhNniylwXaQ6bXw
153,Radgorath,Czechia,"Havířov/Horní Suchá, Moravian-Silesian Region",Split-up,2008,2008-2016,"Folk, Death Metal","Pagan history, Fantasy",Unsigned/independent,"['First Arrows on Battlefield', 'Wolfhunt', 'Dracan Dreor']",,
154,Radhost,Czechia,,Active,,"?-2017 (as Heidenzorn), 2016-2017 (as Heidenzorn), 2017-present",Black Metal,,Werewolf Promotion,"['V časech dávné minulosti...', 'Návrat staré víry', 'Znovuzrození síly slovanského božstva', 'Vládci Démonů', 'Nav', 'Slunovrat']",,
155,Radiação Bestial,Brazil,"Recife, Pernambuco",Active,2011,2011-present,"Speed, Thrash, Black Metal","Satanism, Occultism",Kingdom of Darkness Productions,"['Padre Possuído', 'Domínios Abstratos de Saturno', 'Rex Maximus']",BR,
156,Radial Velocity,Canada,"Montréal, Quebec",Active,2011,2011-present,"Heavy, Thrash Metal, Hard Rock",,Unsigned/independent,['Stella'],CA,
157,Radian,United States,"Akron, Ohio",Active,2017,2017-present,"Sludge, Doom Metal",,Unsigned/independent,"['Chapters', 'Robust Split Series. Season 1', 'Discordian']",US,0vj65hbVIC9MfvQ1FzG09L
158,Radiance,Italy,"Palermo, Sicily",Active,2004,2004-present,Progressive Metal,"Love, War, Fantasy, History, Mythology",My Kingdom Music,"['...and the Night Comes Down', 'Promo 2012', 'Undying Diabolyca']",IT,0WzDWGxJHFrmxxayYsH7yC
159,Radiance,Japan,Tokyo,Split-up,1985,1985-?,Heavy Metal,,Unsigned/independent,"['Demo', 'Burning like the Stars', 'Vol. II']",JP,
160,Radiant,Germany,,Active,2014,2014-present,"Melodic Heavy Metal, Hard Rock, christian power metal",,Massacre Records,"['Radiant', 'Written by Life']",DE,3PDMXezK4WA8ORvbPGbgX1
161,Radiant Archery,Singapore,Singapore,Unknown,2007,2007-?,Post-Metal,Instrumental,Unsigned/independent,"['Untitled EP', 'Live Sessions', 'Live Sessions #2', 'Salvation', 'Ensena / Radiant Archery']",SG,
162,Radiant Beings of Light,United States,"Asheville, North Carolina",Active,2014,2014-present,"Doom, Sludge Metal",,Unsigned/independent,"['Radiant Beings of Light', 'Carnatio']",US,
163,Radiant Knife,United States,"Lafayette, Louisiana",Active,2016,2016-present,"Progressive, Sludge Metal",,Unsigned/independent,"['Radiant Knife', 'Science Fiction', 'The Body', 'The Ghost', 'RK/W']",US,
164,Radiathor,Netherlands,"Nieuwleusen, Overijssel",Active,1989,"1989-?, 2016-present","Thrash, Death Metal, dutch death metal",,Unsigned/independent,"['Toxic-D', 'Promotape', 'Decay by Greed']",NL,2ODLRx8FzJaHzMGWJIf6wC
165,Radiation,Sweden,"Malmö, Skåne /Gothenburg, Västra Götaland",Split-up,2012,2012-2013,Thrash Metal,,Unsigned/independent,['Sudden Death'],SE,7ItEeAUdLiC3JnhfHmMQZT
166,Radiation,Slovakia,"Bratislava, Bratislava",Active,2007,"2005-2007 (as Stone Liver), 2007-present","Thrash, Death Metal","World, Nuclear War, Apocalypse, Alcohol",Atomic Vision Productions,"['Radiation', 'United Metal Massacre', 'Plutonium Overdose', 'The Gift of Doom']",SK,3jrQrE8gX8Suix5ehk3ZrM
167,Radiation 4,United States,"Diamond Bar, California",On hold,2001,2001-2007,Technical Avant-garde Metal,,Abacus Recordings,"['Radiation 4', 'Wonderland']",US,
168,Radiation Dust,Germany,"Ronneburg (early); Gera, Thuringia (later)",Active,1991,1991-present,Thrash Metal,,Uran,"['Radiation Dust', 'Promotape 93', 'X-Raydead', ""Promo '95"", 'Faceless', 'Fister', 'Whatever Remains']",DE,
169,Radiation Sickness,United States,"Corona, California",Split-up,2011,2011-2014,Black Metal,"Magick, Occult, Anunnaki, Sumerian/Mesopotamian Gods",Hygieia Records,['Neter-Khertet'],US,
170,Radiation Sickness,United States,"Indianapolis, Indiana",Unknown,1987,"1987-?, 2010-?","Death, Thrash Metal, Crossover","Death, Insanity, Society, Disease",Abyss Records,"['We Are All the Victims', ""Elvis Ain't Dead"", 'Bounds of Reality', 'The Other Me - A Journey into Insanity', 'More than Death - Volume I', 'Panx Vinyl Zine 04', 'Circle of Sickness (1988-1990)', 'Reflections of a Psychotic Past', 'The Madness Begins 1987-1990', 'Fistula / Radiation Sickness', 'World Deceased', 'Radiation Sickness / Cardiac Arrest']",US,
171,Radiation Vomit,United States,California,Active,,,"Grindcore, Death Metal",,Unsigned/independent,"['Demo 2014', 'Untitled / Exoneration Thru Exhumation', 'Metamorphosing Brain Meat', 'Headless Death / Radiation Vomit ']",US,
172,Radiatrix,United States,"Canton, Ohio",Split-up,2012,2012-2018,"Thrash, Groove Metal",,Unsigned/independent,['Element 94'],US,02hdb834GZzFwAId6vk79h
173,Radical,Uruguay,Montevideo,Active,2004,2004-present,"Thrash Metal, Hardcore","Social, Personal",Pentagram Records,"['Radio', 'Perfecto infierno', 'Sin control', 'Sobrevivientes', 'Autores en vivo 6 - Testimonio en audio']",UY,
174,Radical Artery,Indonesia,"Tangerang, Banten",Active,2008,2008-present,Brutal Death Metal,"Gore, Abortion",Sickness Productions,['Promo 2015'],ID,
175,Radical Corps,Indonesia,"Semarang, Central Java",Active,1992,1992-present,"Thrash, Death Metal","Politics, Human Suffering",Unsigned/independent,"['The Unsolved of Euphony Destruction', 'Born in the Land of Hate', 'State of Emergency']",ID,
176,Radical Crash,Italy,"Mantua, Lombardy",Split-up,2006,2006-2014,"Heavy, Thrash Metal",,Moonlight Records,"[""Just a Fuckin' Name"", 'Danger in Progress', 'Italian Madness', 'Ready to Die']",IT,
177,Radical Discharge,United States,"Baltimore, Maryland",Active,,,"Thrash Metal, Crossover",,Unsigned/independent,"['Party On Dudes!', 'Put the Glasses On!', 'Enemy Insects / Radical Discharge']",US,
178,Radical Dream,United States,"Souderton, Pennsylvania",On hold,1987,"1987-1993, 2008-?",Heavy Metal,,Retrospect Records,['Radical Dream'],US,
179,Radical Heresy,France,"Colmar, Grand Est",Split-up,2007,2007-2019,Thrash Metal,"Life, Death, Corruption, Gore",Unsigned/independent,"['Property of Dictatorship', 'Rise the Beast', 'Spectral']",FR,
180,Radical Mentaly,Czechia,"Veselí nad Moravou, South Moravian Region",Split-up,,,Grindcore,,Unsigned/independent,['Agonizing Thoughts'],,
181,Radical Mutation,Canada,"St. John's, Newfoundland and Labrador",Split-up,2005,2005-?,"Heavy, Thrash Metal",,Unsigned/independent,['Radical Mutation'],CA,
182,Radical Obscurity,Albania,"Tirana, Tirana",Split-up,1991,1991-1998,"Death Metal (early); Crossover, Thrash, Groove Metal (later)","Social issues, Violence, Inner struggles",Unsigned/independent,"[""Stump's Bar""]",AL,
183,Radical OH,Cuba,Havana,Unknown,2003,2003-?,Death Metal,,Unsigned/independent,['Dapou tu Cadur'],CU,
184,Radical Onslaught,United Kingdom,"Hereford, Herefordshire, England",Split-up,2005,2005-2008,Thrash Metal,,Unsigned/independent,['Demo (2008)'],GB,
185,Radicaliz,Japan,"Suita, Osaka Prefecture",Split-up,,,Thrash Metal,"Society, Inner thoughts",IDP,['Deviating Zone'],JP,
186,Radicalizer,United States,Iowa,Active,2020,2020-present,Death Metal,"Politics, Government, Corruption, Propaganda",Unsigned/independent,['Superspreader'],US,6k1Cd22fBb5mc5WgBHaigI
187,Radien,Finland,"Helsinki, Uusimaa",Active,2014,2014-present,Sludge Metal,,Unsigned/independent,"['Maa', 'Hiljaisuus', 'Syvyys', 'Aste', 'Tõll / Radien']",FI,5DLktzlhXK4yTPSA7CD862
188,Radigost,Russia,Moscow,On hold,1996,"1994 (as Infernus), 1994-1996 (as Istanus), 1996-2008","Melodic Black, Doom Metal","War, History, Paganism",Stygian Crypt Productions,"['Spirit of the Past', 'The Way', 'Nocturne', 'Nocturne', 'For the Honour of Our Truth... For the Honour of Our Faith...', 'A Stellar Kingdom']",,
189,Radio,United States,"Miami, Florida",Changed name,2004,"2004-2007, 2007-2016 (as Black Tide)",Speed Metal,"Power, Conflict, Metal",Unsigned/independent,['Demo'],US,
190,Radio Criminals,Hungary,"Kecskemét/Szabadszállás, Bács-Kiskun",Active,2003,2003-present,"Heavy, Stoner Metal","Personal struggles, The global world",Unsigned/independent,"['Demo', 'Rossz kor, rosszkor', 'EP', 'Radio Criminals']",HU,
191,Radio Everett,Brazil,"Belford Roxo, Rio de Janeiro",Active,2021,"2020-2021 (as Busco Esposa), 2021-present","Thrash, Death Metal, Grindcore","Anime, Hatsune Miku, Belford Roxo city, Humour",Unsigned/independent,"['The Dark Side of Belford Roxo 2', 'Se o Inferno Existir se Chama Belford Roxo', 'O Conto da Simiologia Cósmica de Quatro Simios Cariocas Volume 1: Estou Bilu Teteia', 'Busco Covers 3: Retorne ao Passado', 'Hatsune Miku em Belford Roxo', 'A Simiologia Cosmica II - A Sociedade Murray', 'The Dark Simio of Belford Roxo']",BR,
192,Radio Hell,Italy,"Bologna, Emilia-Romagna",Unknown,2000,2000-?,Heavy Metal,"Society, Inner struggles",Unsigned/independent,['Hell Force One'],IT,
193,Radio Muerte,Puerto Rico,San Juan,Active,2020,2020-present,"Thrash, Death Metal, Hardcore Punk","Society, Violence, War, Death",Unsigned/independent,"['A Thousand Demons', 'Beneath the Skin', 'Muerto en mi Mente', 'Radio Muerte']",PR,
194,Radio Planet,United States,"Long Island, New York",Split-up,1979,1979-1992,Heavy Metal,Fantasy,Unsigned/independent,"[""I've Got No Use for You / Bloodsucker"", 'Radio Planet']",US,
195,Radio Tapok,Russia,Moscow,Active,2016,2016-present,Heavy Metal,,Unsigned/independent,['Наследие'],,
196,Radioactive,Finland,"Helsinki, Uusimaa",Split-up,,,Thrash Metal,,Hätäapu Records,"['Marsilaisten invaasio', 'Herra...']",FI,
197,Radioactive Danger,Czechia,"Hradec Králové, Hradec Králové Region",Split-up,1989,1989-?,Thrash Metal,,Unsigned/independent,"['Army Depression', 'View Beyond No. 5', 'Problem Generation']",,
198,Radioactive Monkeys,Spain,"Siero, Asturias",Active,2010,2010-present,"Heavy, Thrash Metal",,Unsigned/independent,"['Radioactive Monkeys', 'Ccrt']",ES,
199,Radioactive Murder,Brazil,"Florianópolis, Santa Catarina",Active,2012,"2012-2017, 2019-present",Thrash Metal,"Hell, Satan, Thrash, Party, Death, Hate",Unsigned/independent,['Violent Force'],BR,
200,Radioactive Vomit,Canada,"Vancouver, British Columbia",Active,2008,"2007-2008 (as Reikhkrieg), 2008-present",Black Metal,,Unsigned/independent,"['Vomit Command Until Suicide', 'Witchblood', 'Streams of Disease / Aubade', 'Ratsflesh']",CA,
201,Radiocamboja,Brazil,"Novo Hamburgo, Rio Grande do Sul",Active,2005,2005-present,"Death Metal, Metalcore","Hopeless, Anger, Pain",Unsigned/independent,['Radiocamboja'],BR,
202,RadioJones,Colombia,Bogota,Active,2014,2014-present,Heavy Metal,"Metal/Rock, Freedom, Stories, Social topics",MG Records,"['Heavy Metal Inmortal', 'Espíritu de libertad']",CO,
203,Radiolokátor,Czechia,,Active,2006,2006-present,Thrash Metal,,Doomentia Records,"['Nunslaughter / Radiolokátor', 'Black Market Fetus / Radiolokátor', 'Crucified Mortals / Radiolokátor']",,
204,Radiostorm,Slovenia,Šentjur,Active,2012,2012-present,"Thrash Metal, Punk","Social problems, Anti-political, Anti-religious",Unsigned/independent,['Age of Thoughtlessness'],SI,
205,Radium,New Zealand,"Auckland, Auckland",Unknown,2012,2012-2017,"Sludge, Groove Metal",,Unsigned/independent,['Azathoth'],NZ,
206,Radium,United Kingdom,"Nottingham, Nottinghamshire, England",Split-up,1980,1980-?,"NWOBHM, Heavy Metal","Occultism, Horror, Supernatural",Buried by Time and Dust Records,"['Through the Smoke', ""Through the Smoke / Into the Grave... Alive '81""]",GB,
207,Radium,United States,"Guilford, Connecticut",Split-up,1988,1988-1991,Progressive Heavy Metal,,Unsigned/independent,"['Psychic Attack', 'Telepathic']",US,
208,Radius,United States,"Shingle Springs, California",Split-up,2005,2005-?,Progressive Black Metal,"Philosophy, Darkness, Death",Mystic Troll Symphony,['Demo 1'],US,
209,Radix Malorum,Italy,"Ragusa, Sicily",Split-up,,?-2019,Raw Black Metal,,Unsigned/independent,['Nightmare in the Graveyard'],IT,
210,Radna,Mexico,"Chihuahua, Chihuahua",Active,2019,2019-present,Black Metal,"Satanism, Anti-religion, Darkness",Unsigned/independent,['Icon'],MX,5kCHvg0PwsRqX5nbDJZE4D
211,Radogor,Russia,"Chelyabinsk, Chelyabinsk Oblast",Active,2011,2011-present,"Atmospheric Black Metal, Ambient","Philosophy, Nature, Misanthropy, Nihilism",Satanath Records,"['Суицид', 'Microcosmos', 'Просветление', 'Жизнь', 'Viśuddha']",,
212,Radogost,Poland,"Brenna/Ustroń, Silesia",Active,2006,2006-present,"Folk Metal, deep folk metal, folk metal, polish folk metal, polish metal, slavic folk metal, slavic metal","Slavic Legends and Folklore, Alcohol, Humour",Unsigned/independent,"['Dwa hektary żywego lasu', 'To nie był wilk', 'W cieniu wielkiego dębu', 'Dark Side of the Forest', 'Dziedzictwo gór', 'Przeklęty', 'Córka Oriona']",PL,57erhmPbxC5aAY0i9bGgEa
213,Radom,Italy,"Bassano del Grappa (Vicenza), Veneto",Active,2012,2012-present,Southern Metal,,Unsigned/independent,['The Cage'],IT,
214,Radon,Finland,"Vantaa, Uusimaa",Split-up,1989,1989-?,Thrash Metal,,Unsigned/independent,"['Out from the...', 'Diabolical Songs']",FI,
215,Radon,Italy,"Rome, Lazio",Split-up,2003,2003-2005,Melodic Death Metal,"Death, Anguish",Unsigned/independent,['Punto di Non Ritorno'],IT,
216,Radon Trench,Italy,"Mantua, Lombardy / Padua, Veneto",Active,2017,2017-present,"Black, Death Metal","War, Death",Pagan Infantry Records,"['Hanged Deserter', 'Gods of Decimation']",IT,
217,Radtskaffen,Denmark,"Jægerspris, Hovedstaden",Changed name,2014,"2014-2018, 2018-present (as Demolizer)","Groove, Thrash Metal",,Unsigned/independent,"['Worldwide Anarchy', 'Live at Lygten']",DK,
218,Radunir,Poland,"Tarnobrzeg, Podkarpackie",Split-up,,,Black Metal,"Death, Darkness",Vlkodlak Division,['In Articulo Mortis / Bezgwiezdny zimowy zmierzch'],PL,
219,Radux,Finland,"Tampere, Pirkanmaa",Active,2013,2013-present,Thrash Metal,"Nuclear warfare, Anti-Religion, Political",Unsigned/independent,"['Radiation Kills', 'Last Ones to Survive', 'Last Ones To Survive/Radiation Kills', 'Disaster Imminent']",FI,0U5bKvXbVRwoQD09qXLXin
220,Radwaste,Switzerland,"Döttingen, Aargau",Active,2005,2005-present,"Thrash Metal, swiss metal","War, Drug abuse, Psychic illnesses, Environmental",Proghippie,"['Spread the Disease', 'Radwaste', 'War Within']",CH,4wuuNGqDTt9HkfnkV52Z3Q
